spu_pk,product_title,source_product_id,source_platform,source_unit_cost,source_min_unit_cost,source_max_unit_cost,status,source_item_url
162,0577长期有货-新款男士烫金圆领短袖百搭男T恤打底衫-2群文件16,1737118992136897783,1688,35.0000,35.0000,35.0000,success,http://detail.1688.com/offer/1055254579865.html
307,10A抗菌男士内裤甲骨文复古新款平角裤舒适宽松透气中腰平角裤衩,1736528520805188855,1688,13.0000,13.0000,13.0000,success,http://detail.1688.com/offer/1050764485983.html
279,2025夏季新款男士短袖T恤纯色简约潮流青年高级感衫扎染字母上衣,1736930381395887351,1688,23.9000,23.9000,23.9000,success,http://detail.1688.com/offer/936580717639.html
167,2025夏季男士圆领短袖上衣薄款潮流修身百搭时尚轻奢高品质帅气,1737119000744002807,1688,35.0000,35.0000,35.0000,success,http://detail.1688.com/offer/921434442498.html
124,2025夏季男士圆领短袖上衣薄款潮流修身百搭时尚轻奢高品质帅气,1737132913226646775,1688,35.0000,35.0000,35.0000,success,http://detail.1688.com/offer/921434442498.html
157,2025新款夏季短袖T恤男修身印花男士薄款冰丝体恤半袖上衣男装潮,933690659727,1688,,,,fail,http://detail.1688.com/offer/933690659727.html
113,2025新款夏季短袖T恤男修身印花男士薄款冰丝体恤半袖上衣男装潮,1737133103062680823,1688,32.0000,32.0000,32.0000,success,http://detail.1688.com/offer/933690659727.html
201,2025骑士—轻奢精品休闲冰丝短袖男1013,1737041712429958391,1688,45.0000,45.0000,45.0000,success,http://detail.1688.com/offer/1029508464364.html
218,2026夏季新款宽松新国风植物印花短袖T恤洋气百搭显瘦上衣,1737041371549107447,1688,31.0000,31.0000,31.0000,success,http://detail.1688.com/offer/1066866192017.html
208,2026夏季新款条纹Polo衫男 薄款透气痞帅商务休闲百搭短袖上衣,1737041468922365175,1688,42.0000,42.0000,42.0000,success,http://detail.1688.com/offer/1032786919226.html
263,2026夏季新款潮牌扎染短袖男T恤宽松圆领字母印花休闲百搭半袖上,1036414749460,1688,,,,fail,http://detail.1688.com/offer/1036414749460.html
266,2026夏季新款潮牌扎染短袖男T恤宽松圆领字母印花休闲百搭半袖上,1736992999482295543,1688,23.0000,23.0000,23.0000,success,http://detail.1688.com/offer/1036414749460.html
262,2026夏季新款男士冰丝棉短袖T恤打底衫潮流时尚欧货半袖烧花体恤,1736992987037533431,1688,50.0000,50.0000,50.0000,success,http://detail.1688.com/offer/1050765814266.html
268,2026夏季新款男士冰丝棉短袖T恤打底衫潮流时尚欧货半袖烧花体恤,1050765814266,1688,,,,fail,http://detail.1688.com/offer/1050765814266.html
320,2026夏季新款男士冰丝棉短袖T恤破洞痞帅半袖体恤衫潮男帅气男装,1736527236636050679,1688,33.8800,33.8800,33.8800,success,http://detail.1688.com/offer/1040118907656.html
239,2026夏季新款男士条纹无袖t恤潮流时尚背心运动健身坎肩上衣,1737021645724681463,1688,37.0000,37.0000,37.0000,success,http://detail.1688.com/offer/1056683761246.html
329,2026夏季新款男士满印短袖T恤欧货时尚休闲百搭潮流打底衫,1736496271662351607,1688,31.8800,31.8800,31.8800,success,http://detail.1688.com/offer/1047469327915.html
